media,drug,waste,pump_time,hour,vial_drug_mass,dil_rate
0,1,2,1694816389.232499,0.0002242125,0,0
0,1,2,1694816390.235243,0.0005027530555555556,0,0
0,1,2,1694816391.2380068,0.0007812972222222222,0,0
1,1,3,1694816392.2407887,0.0010598477777777778,0.0,0
1,1,3,1694816393.2429612,0.0013382297222222222,0.0,0
0,1,2,1694816394.2458594,0.0016168119444444444,0.0,0
1,1,3,1694816395.2482374,0.0018952519444444444,0.0,0
1,1,3,1694816396.2506533,0.002173699166666667,0.0,0
0,1,2,1694816397.2534902,0.002452264722222222,0.0,0
1,1,3,1694816398.2578244,0.0027312472222222224,0.0,0
1,1,3,1694816399.2602818,0.0030097066666666668,0.0,0
0,1,2,1694816400.262857,0.003288200277777778,0.0,0
1,1,3,1694816401.2664285,0.003566971388888889,0.0,0
1,1,3,1694816402.2701056,0.0038457694444444445,0.0,0
0,1,2,1694816403.2731597,0.004124395277777778,0.0,0
1,1,3,1694816404.275594,0.004402850833333334,0.0,0
1,1,3,1694816405.2779522,0.0046812822222222225,0.0,0
0,1,2,1694816406.2810295,0.0049599138888888885,0.0,0
1,1,3,1694816407.2836719,0.005238426666666667,0.0,0
1,1,3,1694816408.2869334,0.005517110555555556,0.0,0
0,1,2,1694816409.2902362,0.005795806944444444,0.0,0
1,1,3,1694816410.2922974,0.006074157777777778,0.0,0
1,1,3,1694816411.2947826,0.006352624444444444,0.0,0
0,1,2,1694816412.2974656,0.006631147222222222,0.0,0
1,1,3,1694816413.3008847,0.0069098722222222225,0.0,0
1,1,3,1694816414.303342,0.007188336388888889,0.0,0
0,1,2,1694816415.3063133,0.007466936666666667,0.0,0
1,1,3,1694816416.3092759,0.007745540277777778,0.0,0
1,1,3,1694816417.3118098,0.008024020833333334,0.0,0
0,1,2,1694816418.314228,0.008302470833333334,0.0,0
1,1,3,1694816419.3174825,0.008581149166666666,0.0,0
1,1,3,1694816420.3202116,0.008859688888888889,0.0,0
0,1,2,1694816421.323052,0.009138253611111112,0.0,0
1,1,3,1694816422.325766,0.009416787777777777,0.0,0
1,1,3,1694816423.3283136,0.009695271666666666,0.0,0
0,1,2,1694816424.3309276,0.009973774444444444,0.0,0
0,2,3,1694816425.334672,0.01025259361111111,32.252252219999995,0
0,1,2,1694816426.3377132,0.010531215833333333,32.252252219999995,0
0,1,2,1694816427.34076,0.010809837777777777,32.252252219999995,0
1,1,3,1694816428.3441277,0.011088552777777778,27.100850823749994,0
0,1,2,1694816429.3461864,0.011366904444444445,27.100850823749994,0
0,1,2,1694816430.3486161,0.01164535611111111,27.100850823749994,0
1,1,3,1694816431.3521585,0.011924118888888889,22.7722427060677,0
1,1,2,1694816432.3558269,0.012202913888888889,22.7722427060677,0
0,1,2,1694816433.3587284,0.012481498055555556,22.7722427060677,0
1,1,3,1694816434.3617198,0.012760107777777778,19.135009496070776,0
1,1,2,1694816435.3637402,0.013038446944444445,19.135009496070776,0
0,1,2,1694816436.366213,0.013316910833333334,19.135009496070776,0
